id;job_id;job_title;min_salary;max_salary
1;2102;Regional Assurance Supervisor;17696;12459
2;1888;Senior Configuration Administrator;30599;32704
3;19434;Lead Mobility Supervisor;22300;903
4;9417;International Response Technician;4753;24325
5;7622;Global Accountability Liaison;25243;17284
6;28526;National Integration Coordinator;31718;25136
7;4863;Forward Web Technician;11727;28977
8;18458;Direct Web Specialist;21489;30639
9;20062;Legacy Accountability Engineer;31164;1749
10;814;Dynamic Integration Associate;20608;236
