id;location_id;street_address;postal_code;city;state_province
1;10339;yum;midst;Port St. Lucie;burly
2;3912;aw from;neat;Cary;before
3;17948;undelete;whose pfft;Milpitas;oof
4;27073;geez heft;but galley h;West Melbashire;sidestep impractical
5;4872;until instantly;hopelessly p;Ankundingstad;and almost an
6;22009;pickaxe yowza phooey;normalize pr;East Verla;drat nor intentional
7;31849;and huzzah upon;till cape sh;Fort Carolynmouth;subordinate experienced g
8;16399;from;with gracefu;Lake Lane;tomorrow ack
9;21714;soot growing chew;hourly;West Curt;for
10;29898;evenly;frequent bla;West Kurtis;yahoo quest
